School,Player_Type,Position_Type,Position,Drafted,Team
Mississippi St.,defense,defensive_back,CB,Yes,San Francisco 49ers
Louisiana Tech,offense,backs_receivers,QB,Yes,San Francisco 49ers
Stanford,offense,offensive_lineman,OG,Yes,San Francisco 49ers
Mississippi,offense,offensive_lineman,OT,Yes,San Francisco 49ers
Oregon,defense,defensive_lineman,DE,Yes,San Francisco 49ers
Georgia,offense,offensive_lineman,OT,Yes,San Francisco 49ers
Michigan St.,offense,backs_receivers,WR,Yes,San Francisco 49ers
Notre Dame,offense,backs_receivers,RB,Yes,Seattle Seahawks
Arkansas,offense,backs_receivers,RB,Yes,Seattle Seahawks
Alabama,defense,defensive_lineman,DT,Yes,Seattle Seahawks
Maryland,defense,defensive_lineman,DT,Yes,Seattle Seahawks
Texas A&M,offense,offensive_lineman,OT,Yes,Seattle Seahawks
Boise St.,offense,offensive_lineman,OT,Yes,Seattle Seahawks
Ohio St.,offense,backs_receivers,TE,Yes,Seattle Seahawks
California,offense,backs_receivers,WR,Yes,Seattle Seahawks
East. Kentucky,defense,defensive_lineman,DE,Yes,Tampa Bay Buccaneers
Oklahoma,defense,line_backer,OLB,Yes,Tampa Bay Buccaneers
Florida,defense,defensive_back,CB,Yes,Tampa Bay Buccaneers
UCLA,offense,offensive_lineman,OT,Yes,Tampa Bay Buccaneers
North Carolina Central,defense,defensive_back,CB,Yes,Tampa Bay Buccaneers
Florida St.,special_teams,kicking_specialist,K,Yes,Tampa Bay Buccaneers
Northwestern,offense,backs_receivers,FB,Yes,Tampa Bay Buccaneers
Michigan St.,offense,offensive_lineman,OT,Yes,Tennessee Titans
Massachusetts,offense,backs_receivers,WR,Yes,Tennessee Titans
Alabama,offense,backs_receivers,RB,Yes,Tennessee Titans
Penn St.,defense,defensive_lineman,DT,Yes,Tennessee Titans
Arkansas,offense,offensive_lineman,OG,Yes,Tennessee Titans
Clemson,defense,defensive_lineman,DE,Yes,Tennessee Titans
Southern Utah,defense,defensive_back,CB,Yes,Tennessee Titans
Indiana,offense,backs_receivers,QB,Yes,Washington Redskins
Georgia,offense,backs_receivers,RB,Yes,Washington Redskins
Temple,defense,defensive_lineman,DT,Yes,Washington Redskins
Virginia Tech,defense,defensive_back,CB,Yes,Washington Redskins
TCU,offense,backs_receivers,WR,Yes,Washington Redskins
Boston Col.,defense,line_backer,ILB,Yes,Washington Redskins
USC,defense,line_backer,OLB,Yes,Washington Redskins
Temple,defense,line_backer,OLB,Yes,Arizona Cardinals
North Carolina,offense,backs_receivers,RB,Yes,Arizona Cardinals
Pittsburgh,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Vanderbilt,offense,offensive_lineman,OT,Yes,Arizona Cardinals
Washington,defense,defensive_back,FS,Yes,Arizona Cardinals
San Diego St.,defense,defensive_back,CB,Yes,Atlanta Falcons
Oregon St.,offense,offensive_lineman,OG,Yes,Atlanta Falcons
LSU,defense,line_backer,OLB,Yes,Atlanta Falcons
Drake,offense,backs_receivers,TE,Yes,Atlanta Falcons
UCLA,defense,line_backer,OLB,Yes,Atlanta Falcons
Wyoming,offense,backs_receivers,RB,Yes,Atlanta Falcons
Michigan,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Virginia Tech,defense,defensive_back,FS,Yes,Baltimore Ravens
Houston,defense,line_backer,OLB,Yes,Baltimore Ravens
Texas A&M,offense,offensive_lineman,OG,Yes,Baltimore Ravens
Alabama,defense,defensive_back,CB,Yes,Baltimore Ravens
San Diego St.,offense,offensive_lineman,OG,Yes,Baltimore Ravens
Alabama,defense,line_backer,OLB,Yes,Baltimore Ravens
East Carolina,offense,backs_receivers,WR,Yes,Buffalo Bills
Boise St.,defense,line_backer,ILB,Yes,Buffalo Bills
LSU,defense,defensive_back,CB,Yes,Buffalo Bills
Pittsburgh,offense,backs_receivers,QB,Yes,Buffalo Bills
Boston Col.,defense,line_backer,OLB,Yes,Buffalo Bills
Temple,offense,offensive_lineman,OG,Yes,Buffalo Bills
Texas A&M,defense,defensive_lineman,DE,Yes,Carolina Panthers
West. Michigan,offense,offensive_lineman,OT,Yes,Carolina Panthers
Ohio St.,offense,backs_receivers,WR,Yes,Carolina Panthers
Georgia Tech,special_teams,kicking_specialist,K,Yes,Carolina Panthers
Stanford,offense,backs_receivers,RB,Yes,Carolina Panthers
Miami (FL),defense,defensive_back,CB,Yes,Carolina Panthers
North Carolina,offense,backs_receivers,QB,Yes,Chicago Bears
Ashland,offense,backs_receivers,TE,Yes,Chicago Bears
Kutztown Pennsylvania,offense,offensive_lineman,OG,Yes,Chicago Bears
Alabama,defense,defensive_back,SS,Yes,Chicago Bears
North Carolina A&T,offense,backs_receivers,RB,Yes,Chicago Bears
Auburn,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Utah,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
Kansas St.,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Memphis,special_teams,kicking_specialist,K,Yes,Cincinnati Bengals
Washington,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Michigan,defense,defensive_lineman,DT,Yes,Cincinnati Bengals
Tennessee,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Michigan,defense,defensive_back,SS,Yes,Cleveland Browns
Houston,defense,defensive_back,CB,Yes,Cleveland Browns
North Carolina St.,offense,backs_receivers,RB,Yes,Cleveland Browns
Texas A&M,defense,defensive_lineman,DE,Yes,Cleveland Browns
Charlotte,defense,defensive_lineman,DE,Yes,Cleveland Browns
Arizona St.,special_teams,kicking_specialist,K,Yes,Cleveland Browns
Notre Dame,offense,backs_receivers,QB,Yes,Cleveland Browns
Florida,defense,defensive_lineman,DT,Yes,Cleveland Browns
Miami (FL),offense,backs_receivers,TE,Yes,Cleveland Browns
Florida St.,offense,offensive_lineman,OT,Yes,Cleveland Browns
Michigan,defense,defensive_back,CB,Yes,Dallas Cowboys
Ohio St.,offense,backs_receivers,WR,Yes,Dallas Cowboys
Colorado,defense,defensive_back,CB,Yes,Dallas Cowboys
Florida St.,defense,defensive_back,CB,Yes,Dallas Cowboys
Michigan,defense,defensive_lineman,DE,Yes,Dallas Cowboys
Louisiana Tech,defense,defensive_back,SS,Yes,Dallas Cowboys
North Carolina,offense,backs_receivers,WR,Yes,Dallas Cowboys
Utah,offense,offensive_lineman,OT,Yes,Denver Broncos
Georgia,offense,backs_receivers,WR,Yes,Denver Broncos
Michigan,offense,backs_receivers,TE,Yes,Denver Broncos
Louisiana Tech,offense,backs_receivers,WR,Yes,Denver Broncos
Florida St.,defense,defensive_lineman,DE,Yes,Denver Broncos
Florida,defense,defensive_back,CB,Yes,Detroit Lions
Toledo,offense,backs_receivers,TE,Yes,Detroit Lions
Tennessee,defense,line_backer,OLB,Yes,Detroit Lions
Arkansas,defense,defensive_lineman,DT,Yes,Detroit Lions
Miami (FL),offense,backs_receivers,QB,Yes,Detroit Lions
Northern Illinois,offense,backs_receivers,WR,Yes,Detroit Lions
Florida,defense,line_backer,ILB,Yes,Detroit Lions
BYU,offense,backs_receivers,RB,Yes,Green Bay Packers
Washington,defense,defensive_back,CB,Yes,Green Bay Packers
North Carolina St.,defense,defensive_back,SS,Yes,Green Bay Packers
Texas-El Paso,offense,backs_receivers,RB,Yes,Green Bay Packers
LSU,offense,backs_receivers,WR,Yes,Green Bay Packers
Wisconsin,defense,line_backer,OLB,Yes,Green Bay Packers
Auburn,defense,defensive_lineman,DT,Yes,Green Bay Packers
Clemson,offense,backs_receivers,QB,Yes,Houston Texans
Oregon St.,defense,defensive_back,CB,Yes,Houston Texans
Clemson,defense,defensive_lineman,DT,Yes,Houston Texans
Texas,offense,backs_receivers,RB,Yes,Houston Texans
Vanderbilt,defense,line_backer,OLB,Yes,Houston Texans
Baylor,offense,offensive_lineman,C,Yes,Houston Texans
Ohio,defense,defensive_lineman,DE,Yes,Indianapolis Colts
Northwestern,defense,line_backer,ILB,Yes,Indianapolis Colts
Florida,defense,defensive_back,CB,Yes,Indianapolis Colts
Temple,defense,defensive_back,CB,Yes,Indianapolis Colts
Ohio St.,defense,defensive_back,FS,Yes,Indianapolis Colts
South Florida,offense,backs_receivers,RB,Yes,Indianapolis Colts
USC,offense,offensive_lineman,OG,Yes,Indianapolis Colts
Alabama,offense,offensive_lineman,OT,Yes,Jacksonville Jaguars
Minnesota,defense,defensive_back,CB,Yes,Jacksonville Jaguars
LSU,offense,backs_receivers,RB,Yes,Jacksonville Jaguars
Ohio,defense,line_backer,ILB,Yes,Jacksonville Jaguars
Oklahoma,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Illinois,defense,defensive_lineman,DE,Yes,Jacksonville Jaguars
Villanova,defense,defensive_lineman,DE,Yes,Kansas City Chiefs
Texas Tech,offense,backs_receivers,QB,Yes,Kansas City Chiefs
Michigan,offense,backs_receivers,WR,Yes,Kansas City Chiefs
Toledo,offense,backs_receivers,RB,Yes,Kansas City Chiefs
Indiana,offense,offensive_lineman,OG,Yes,Los Angeles Chargers
Notre Dame,defense,defensive_lineman,DE,Yes,Los Angeles Chargers
Western Kentucky,offense,offensive_lineman,OG,Yes,Los Angeles Chargers
Utah,offense,offensive_lineman,OT,Yes,Los Angeles Chargers
Clemson,offense,backs_receivers,WR,Yes,Los Angeles Chargers
Iowa,defense,defensive_back,FS,Yes,Los Angeles Chargers
Miami (FL),defense,defensive_back,FS,Yes,Los Angeles Chargers
Tulane,defense,defensive_lineman,DT,Yes,Los Angeles Rams
Virginia Tech,offense,backs_receivers,FB,Yes,Los Angeles Rams
Texas A&M,offense,backs_receivers,WR,Yes,Los Angeles Rams
Pittsburgh,defense,line_backer,OLB,Yes,Los Angeles Rams
East. Washington,offense,backs_receivers,WR,Yes,Los Angeles Rams
Troy,defense,defensive_back,FS,Yes,Los Angeles Rams
South Alabama,offense,backs_receivers,TE,Yes,Los Angeles Rams
Utah,offense,offensive_lineman,OG,Yes,Miami Dolphins
Clemson,defense,defensive_back,CB,Yes,Miami Dolphins
Virginia Tech,offense,backs_receivers,WR,Yes,Miami Dolphins
Ohio St.,defense,line_backer,ILB,Yes,Miami Dolphins
Oklahoma St.,defense,defensive_lineman,DT,Yes,Miami Dolphins
Missouri,defense,defensive_lineman,DE,Yes,Miami Dolphins
LSU,defense,defensive_lineman,DT,Yes,Miami Dolphins
Michigan,defense,line_backer,ILB,Yes,Minnesota Vikings
Miami (FL),offense,backs_receivers,WR,Yes,Minnesota Vikings
Iowa,defense,defensive_lineman,DT,Yes,Minnesota Vikings
Virginia Tech,offense,backs_receivers,TE,Yes,Minnesota Vikings
Ohio St.,offense,offensive_lineman,C,Yes,Minnesota Vikings
Miami (FL),offense,offensive_lineman,OG,Yes,Minnesota Vikings
North Carolina St.,defense,defensive_back,CB,Yes,Minnesota Vikings
Florida St.,offense,backs_receivers,RB,Yes,Minnesota Vikings
South Florida,offense,backs_receivers,WR,Yes,Minnesota Vikings
Northwestern,defense,defensive_lineman,DE,Yes,Minnesota Vikings
Youngstown St.,defense,defensive_lineman,DE,Yes,New England Patriots
UCLA,offense,offensive_lineman,OT,Yes,New England Patriots
Arkansas,defense,defensive_lineman,DE,Yes,New England Patriots
Troy,offense,offensive_lineman,OT,Yes,New England Patriots
Tennessee,offense,backs_receivers,RB,Yes,New Orleans Saints
Utah,defense,defensive_back,FS,Yes,New Orleans Saints
Miami (FL),defense,defensive_lineman,DE,Yes,New Orleans Saints
Wisconsin,offense,offensive_lineman,OT,Yes,New Orleans Saints
Florida Atlantic,defense,defensive_lineman,DE,Yes,New Orleans Saints
Ohio St.,defense,defensive_back,CB,Yes,New Orleans Saints
Florida,defense,line_backer,OLB,Yes,New Orleans Saints
California,offense,backs_receivers,QB,Yes,New York Giants
Alabama,defense,defensive_lineman,DT,Yes,New York Giants
Youngstown St.,defense,defensive_lineman,DE,Yes,New York Giants
Clemson,offense,backs_receivers,RB,Yes,New York Giants
Mississippi,offense,backs_receivers,TE,Yes,New York Giants
Pittsburgh,offense,offensive_lineman,OT,Yes,New York Giants
LSU,defense,defensive_back,SS,Yes,New York Jets
Clemson,offense,backs_receivers,TE,Yes,New York Jets
California,offense,backs_receivers,WR,Yes,New York Jets
Michigan,defense,defensive_back,CB,Yes,New York Jets
Alabama,offense,backs_receivers,WR,Yes,New York Jets
Louisiana,offense,backs_receivers,RB,Yes,New York Jets
Florida,defense,defensive_back,FS,Yes,New York Jets
West Georgia,defense,line_backer,OLB,Yes,New York Jets
Florida,offense,offensive_lineman,OT,Yes,Oakland Raiders
Toledo,defense,defensive_lineman,DT,Yes,Oakland Raiders
UCLA,defense,defensive_lineman,DT,Yes,Oakland Raiders
North Carolina,offense,backs_receivers,RB,Yes,Oakland Raiders
Connecticut,defense,defensive_back,SS,Yes,Oakland Raiders
Washington St.,defense,defensive_back,SS,Yes,Oakland Raiders
Ohio St.,defense,defensive_back,CB,Yes,Oakland Raiders
Wake Forest,defense,line_backer,ILB,Yes,Oakland Raiders
Washington,defense,defensive_lineman,DT,Yes,Philadelphia Eagles
San Diego St.,offense,backs_receivers,RB,Yes,Philadelphia Eagles
Washington,defense,defensive_back,CB,Yes,Philadelphia Eagles
North Carolina,offense,backs_receivers,WR,Yes,Philadelphia Eagles
West Virginia,offense,backs_receivers,WR,Yes,Philadelphia Eagles
Nebraska,defense,defensive_back,SS,Yes,Philadelphia Eagles
West Virginia,defense,defensive_back,CB,Yes,Philadelphia Eagles
Tennessee,defense,defensive_lineman,DE,Yes,Philadelphia Eagles
Wisconsin,defense,line_backer,OLB,Yes,Pittsburgh Steelers
Tennessee,defense,defensive_back,CB,Yes,Pittsburgh Steelers
USC,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
Louisville,special_teams,other_special,LS,Yes,Pittsburgh Steelers
Tennessee,offense,backs_receivers,QB,Yes,Pittsburgh Steelers
Pittsburgh,offense,backs_receivers,RB,Yes,Pittsburgh Steelers
Utah,defense,defensive_back,CB,Yes,Pittsburgh Steelers
Colorado,defense,defensive_back,CB,Yes,San Francisco 49ers
Louisiana Tech,offense,backs_receivers,WR,Yes,San Francisco 49ers
Alabama,defense,line_backer,ILB,Yes,San Francisco 49ers
Iowa,offense,backs_receivers,TE,Yes,San Francisco 49ers
Stanford,defense,defensive_lineman,DE,Yes,San Francisco 49ers
Utah,offense,backs_receivers,RB,Yes,San Francisco 49ers
Utah,defense,line_backer,OLB,Yes,San Francisco 49ers
Iowa,offense,backs_receivers,QB,Yes,San Francisco 49ers
Akron,defense,defensive_lineman,DT,Yes,San Francisco 49ers
Central Florida,defense,defensive_back,CB,Yes,Seattle Seahawks
Colorado,defense,defensive_back,SS,Yes,Seattle Seahawks
LSU,offense,offensive_lineman,C,Yes,Seattle Seahawks
Michigan,offense,backs_receivers,WR,Yes,Seattle Seahawks
Oklahoma St.,offense,backs_receivers,RB,Yes,Seattle Seahawks
Michigan St.,defense,defensive_lineman,DT,Yes,Seattle Seahawks
North Carolina,defense,defensive_lineman,DT,Yes,Seattle Seahawks
Mississippi St.,offense,offensive_lineman,OT,Yes,Seattle Seahawks
Michigan,defense,defensive_back,FS,Yes,Seattle Seahawks
Cincinnati,defense,defensive_back,FS,Yes,Seattle Seahawks
Penn St.,offense,backs_receivers,WR,Yes,Tampa Bay Buccaneers
Texas A&M,defense,defensive_back,SS,Yes,Tampa Bay Buccaneers
USC,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
Alabama,offense,backs_receivers,TE,Yes,Tampa Bay Buccaneers
Boise St.,offense,backs_receivers,RB,Yes,Tampa Bay Buccaneers
LSU,defense,line_backer,ILB,Yes,Tampa Bay Buccaneers
USC,defense,defensive_back,CB,Yes,Tennessee Titans
Tenn-Chattanooga,offense,offensive_lineman,OG,Yes,Tennessee Titans
West. Michigan,offense,backs_receivers,WR,Yes,Tennessee Titans
UCLA,defense,line_backer,ILB,Yes,Tennessee Titans
Florida International,offense,backs_receivers,TE,Yes,Tennessee Titans
Western Kentucky,offense,backs_receivers,WR,Yes,Tennessee Titans
TCU,defense,defensive_lineman,DE,Yes,Tennessee Titans
Arkansas,offense,backs_receivers,TE,Yes,Washington Redskins
Wyoming,offense,offensive_lineman,C,Yes,Washington Redskins
Oklahoma,offense,backs_receivers,RB,Yes,Washington Redskins
Michigan St.,defense,defensive_back,SS,Yes,Washington Redskins
UCLA,defense,defensive_back,CB,Yes,Washington Redskins
Louisville,defense,defensive_back,SS,Yes,Washington Redskins
Georgia St.,offense,backs_receivers,WR,Yes,Washington Redskins
Alabama,defense,line_backer,OLB,Yes,Washington Redskins
Alabama,defense,defensive_lineman,DT,Yes,Washington Redskins
UCLA,offense,backs_receivers,QB,Yes,Arizona Cardinals
Texas A&M,offense,backs_receivers,WR,Yes,Arizona Cardinals
Fordham,offense,backs_receivers,RB,Yes,Arizona Cardinals
Michigan,offense,offensive_lineman,C,Yes,Arizona Cardinals
Colorado,defense,defensive_back,CB,Yes,Atlanta Falcons
Alabama,offense,backs_receivers,WR,Yes,Atlanta Falcons
South Florida,defense,defensive_lineman,DT,Yes,Atlanta Falcons
Oklahoma,offense,backs_receivers,TE,Yes,Baltimore Ravens
UCLA,offense,backs_receivers,WR,Yes,Baltimore Ravens
Oklahoma,offense,offensive_lineman,OT,Yes,Baltimore Ravens
New Mexico St.,offense,backs_receivers,WR,Yes,Baltimore Ravens
Wagner,offense,offensive_lineman,OT,Yes,Baltimore Ravens
Louisville,offense,backs_receivers,QB,Yes,Baltimore Ravens
UCLA,defense,line_backer,ILB,Yes,Baltimore Ravens
South Carolina,offense,backs_receivers,TE,Yes,Baltimore Ravens
Alabama,defense,defensive_back,CB,Yes,Baltimore Ravens
Texas,defense,defensive_back,S,Yes,Baltimore Ravens
Weber St.,defense,defensive_back,CB,Yes,Buffalo Bills
Stanford,defense,defensive_lineman,DT,Yes,Buffalo Bills
Clemson,offense,backs_receivers,WR,Yes,Buffalo Bills
Virginia Tech,offense,offensive_lineman,OG,Yes,Buffalo Bills
Wyoming,offense,backs_receivers,QB,Yes,Buffalo Bills
Jacksonville St.,defense,defensive_back,S,Yes,Buffalo Bills
LSU,defense,defensive_back,CB,Yes,Carolina Panthers
North Carolina,defense,line_backer,ILB,Yes,Carolina Panthers
Maryland,offense,backs_receivers,WR,Yes,Carolina Panthers
Indiana,offense,backs_receivers,TE,Yes,Carolina Panthers
Tennessee,defense,defensive_back,CB,Yes,Carolina Panthers
Miami (FL),defense,defensive_lineman,DT,Yes,Carolina Panthers
Georgia,offense,backs_receivers,WR,Yes,Chicago Bears
Georgia,defense,line_backer,OLB,Yes,Chicago Bears
Delaware,defense,defensive_lineman,DT,Yes,Chicago Bears
Memphis,offense,backs_receivers,WR,Yes,Chicago Bears
Iowa,offense,offensive_lineman,C,Yes,Chicago Bears
Miami (FL),offense,backs_receivers,RB,Yes,Cincinnati Bengals
Toledo,offense,backs_receivers,QB,Yes,Cincinnati Bengals
Texas,defense,line_backer,OLB,Yes,Cincinnati Bengals
West. Michigan,defense,defensive_back,CB,Yes,Cincinnati Bengals
Ohio St.,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Virginia,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Florida St.,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Ohio St.,offense,offensive_lineman,C,Yes,Cincinnati Bengals
Illinois St.,defense,defensive_back,CB,Yes,Cincinnati Bengals
Mississippi,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
Georgia,offense,backs_receivers,RB,Yes,Cleveland Browns
Nevada,offense,offensive_lineman,OG,Yes,Cleveland Browns
Memphis,defense,line_backer,ILB,Yes,Cleveland Browns
Ohio St.,defense,defensive_back,CB,Yes,Cleveland Browns
Florida,offense,backs_receivers,WR,Yes,Cleveland Browns
Miami (FL),defense,defensive_lineman,DE,Yes,Cleveland Browns
Oklahoma,offense,backs_receivers,QB,Yes,Cleveland Browns
Stanford,offense,backs_receivers,TE,Yes,Dallas Cowboys
Alabama,offense,backs_receivers,RB,Yes,Dallas Cowboys
Colorado St.,offense,backs_receivers,WR,Yes,Dallas Cowboys
Boise St.,offense,backs_receivers,WR,Yes,Dallas Cowboys
Texas,offense,offensive_lineman,OT,Yes,Dallas Cowboys
Indiana,defense,line_backer,OLB,Yes,Dallas Cowboys
Boise St.,defense,line_backer,ILB,Yes,Dallas Cowboys
Western Kentucky,offense,backs_receivers,QB,Yes,Dallas Cowboys
Boston Col.,defense,defensive_back,CB,Yes,Denver Broncos
Arizona St.,offense,offensive_lineman,OG,Yes,Denver Broncos
Oregon,offense,backs_receivers,RB,Yes,Denver Broncos
Wisconsin,offense,backs_receivers,TE,Yes,Denver Broncos
SMU,offense,backs_receivers,WR,Yes,Denver Broncos
Penn St.,offense,backs_receivers,WR,Yes,Denver Broncos
North Carolina St.,defense,defensive_lineman,DE,Yes,Denver Broncos
Iowa,defense,line_backer,ILB,Yes,Denver Broncos
Washington,defense,line_backer,ILB,Yes,Denver Broncos
Arkansas,offense,offensive_lineman,C,Yes,Detroit Lions
Auburn,offense,backs_receivers,RB,Yes,Detroit Lions
Oregon,offense,offensive_lineman,OT,Yes,Detroit Lions
San Diego St.,offense,backs_receivers,FB,Yes,Detroit Lions
South Florida,offense,backs_receivers,WR,Yes,Green Bay Packers
Notre Dame,offense,backs_receivers,WR,Yes,Green Bay Packers
Alabama,special_teams,kicking_specialist,P,Yes,Green Bay Packers
California,defense,defensive_lineman,DE,Yes,Green Bay Packers
Iowa,defense,defensive_back,CB,Yes,Green Bay Packers
Vanderbilt,defense,line_backer,OLB,Yes,Green Bay Packers
Louisville,defense,defensive_back,CB,Yes,Green Bay Packers
Central Florida,offense,backs_receivers,TE,Yes,Houston Texans
Mississippi St.,offense,backs_receivers,TE,Yes,Houston Texans
Stanford,defense,defensive_back,S,Yes,Houston Texans
Wake Forest,defense,defensive_lineman,DE,Yes,Houston Texans
Texas Tech,offense,backs_receivers,WR,Yes,Houston Texans
Clemson,offense,backs_receivers,WR,Yes,Indianapolis Colts
Auburn,offense,offensive_lineman,OG,Yes,Indianapolis Colts
Mississippi,offense,backs_receivers,RB,Yes,Indianapolis Colts
South Carolina St.,defense,line_backer,OLB,Yes,Indianapolis Colts
North Carolina St.,offense,backs_receivers,RB,Yes,Indianapolis Colts
Notre Dame,offense,offensive_lineman,OG,Yes,Indianapolis Colts
Nebraska,offense,backs_receivers,QB,Yes,Jacksonville Jaguars
North Carolina St.,offense,offensive_lineman,OT,Yes,Jacksonville Jaguars
Alabama,defense,defensive_back,S,Yes,Jacksonville Jaguars
Florida,defense,defensive_lineman,DT,Yes,Jacksonville Jaguars
Florida St.,defense,defensive_lineman,DT,Yes,Kansas City Chiefs
Mississippi,defense,defensive_lineman,DT,Yes,Kansas City Chiefs
Tennessee,defense,defensive_lineman,DT,Yes,Kansas City Chiefs
Texas A&M,defense,defensive_back,S,Yes,Kansas City Chiefs
Clemson,defense,line_backer,OLB,Yes,Kansas City Chiefs
West Virginia,defense,defensive_back,S,Yes,Los Angeles Chargers
North Carolina St.,defense,defensive_lineman,DT,Yes,Los Angeles Chargers
Northwestern,offense,backs_receivers,RB,Yes,Los Angeles Chargers
Texas Tech,offense,backs_receivers,WR,Yes,Los Angeles Chargers
Florida St.,defense,defensive_back,S,Yes,Los Angeles Chargers
UCLA,offense,offensive_lineman,C,Yes,Los Angeles Chargers
TCU,offense,offensive_lineman,OT,Yes,Los Angeles Rams
Virginia,defense,line_backer,ILB,Yes,Los Angeles Rams
Tennessee,offense,backs_receivers,RB,Yes,Los Angeles Rams
Maine,offense,offensive_lineman,OG,Yes,Los Angeles Rams
Michigan St.,offense,offensive_lineman,C,Yes,Los Angeles Rams
Alabama,defense,defensive_back,DB,Yes,Miami Dolphins
Arizona St.,offense,backs_receivers,RB,Yes,Miami Dolphins
Notre Dame,offense,backs_receivers,TE,Yes,Miami Dolphins
Ohio St.,defense,line_backer,OLB,Yes,Miami Dolphins
Penn St.,offense,backs_receivers,TE,Yes,Miami Dolphins
Pittsburgh,offense,offensive_lineman,OT,Yes,Minnesota Vikings
Appalachian St.,offense,offensive_lineman,OG,Yes,Minnesota Vikings
Central Florida,defense,defensive_back,CB,Yes,Minnesota Vikings
Auburn,special_teams,kicking_specialist,K,Yes,Minnesota Vikings
Central Michigan,offense,backs_receivers,TE,Yes,Minnesota Vikings
Ohio St.,defense,defensive_lineman,DE,Yes,Minnesota Vikings
Tulane,defense,defensive_lineman,DE,Yes,Minnesota Vikings
Georgia,offense,offensive_lineman,OG,Yes,New England Patriots
Miami (FL),offense,backs_receivers,WR,Yes,New England Patriots
Arizona St.,defense,line_backer,ILB,Yes,New England Patriots
Florida,defense,defensive_back,CB,Yes,New England Patriots
Florida St.,offense,backs_receivers,TE,Yes,New England Patriots
Georgia,offense,backs_receivers,RB,Yes,New England Patriots
LSU,offense,backs_receivers,QB,Yes,New England Patriots
Texas-San Antonio,defense,defensive_lineman,DE,Yes,New Orleans Saints
LSU,offense,offensive_lineman,C,Yes,New Orleans Saints
Boston Col.,defense,defensive_back,CB,Yes,New Orleans Saints
Wisconsin,defense,defensive_back,S,Yes,New Orleans Saints
Florida St.,offense,offensive_lineman,OT,Yes,New Orleans Saints
Miami (FL),defense,defensive_lineman,DT,Yes,New York Giants
Richmond,offense,backs_receivers,QB,Yes,New York Giants
North Carolina St.,defense,defensive_lineman,DT,Yes,New York Giants
Texas-El Paso,offense,offensive_lineman,OG,Yes,New York Giants
Penn St.,offense,backs_receivers,RB,Yes,New York Giants
USC,offense,backs_receivers,QB,Yes,New York Jets
Tulane,defense,defensive_back,CB,Yes,New York Jets
Fort Hays St.,defense,defensive_lineman,DT,Yes,New York Jets
Wisconsin,defense,defensive_back,CB,Yes,Oakland Raiders
Oklahoma St.,offense,backs_receivers,WR,Yes,Oakland Raiders
North Carolina A&T,offense,offensive_lineman,OT,Yes,Oakland Raiders
Washington,defense,line_backer,ILB,Yes,Oakland Raiders
UCLA,offense,offensive_lineman,OT,Yes,Oakland Raiders
Florida,special_teams,kicking_specialist,P,Yes,Oakland Raiders
Pittsburgh,defense,defensive_back,CB,Yes,Philadelphia Eagles
South Dakota St.,offense,backs_receivers,TE,Yes,Philadelphia Eagles
Oklahoma St.,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
North Carolina St.,offense,backs_receivers,TE,Yes,Pittsburgh Steelers
Oklahoma St.,offense,backs_receivers,QB,Yes,Pittsburgh Steelers
West. Michigan,offense,offensive_lineman,OT,Yes,Pittsburgh Steelers
Alabama,defense,defensive_lineman,DT,Yes,Pittsburgh Steelers
Virginia Tech,defense,defensive_back,S,Yes,Pittsburgh Steelers
Penn St.,defense,defensive_back,S,Yes,Pittsburgh Steelers
Washington,offense,backs_receivers,WR,Yes,San Francisco 49ers
Florida,defense,defensive_back,S,Yes,San Francisco 49ers
Notre Dame,offense,offensive_lineman,OT,Yes,San Francisco 49ers
Kansas St.,defense,defensive_back,CB,Yes,San Francisco 49ers
North Carolina St.,defense,defensive_lineman,DE,Yes,San Francisco 49ers
BYU,defense,line_backer,OLB,Yes,San Francisco 49ers
San Diego St.,offense,backs_receivers,RB,Yes,Seattle Seahawks
Oklahoma St.,defense,defensive_back,S,Yes,Seattle Seahawks
Central Florida,defense,line_backer,OLB,Yes,Seattle Seahawks
Washington,offense,backs_receivers,TE,Yes,Seattle Seahawks
Ohio St.,offense,offensive_lineman,OT,Yes,Seattle Seahawks
USC,defense,defensive_lineman,DE,Yes,Seattle Seahawks
Texas,special_teams,kicking_specialist,P,Yes,Seattle Seahawks
Washington,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
Pittsburgh,defense,defensive_back,S,Yes,Tampa Bay Buccaneers
Humboldt St.,offense,offensive_lineman,OT,Yes,Tampa Bay Buccaneers
